Tx,Ty,Tn,Ti,Nx,Ny,Ni,Nn,Kx,Ky,time_ms
8,8,8,8,224,224,64,64,3,3,20.210000
8,8,8,8,224,224,128,128,3,3,73.937000
8,8,8,8,224,224,256,256,3,3,294.849000
8,8,8,8,224,112,64,64,3,3,10.264000
8,8,8,8,224,112,128,128,3,3,38.907000
8,8,8,8,224,112,256,256,3,3,149.862000
8,8,8,8,224,56,64,64,3,3,5.195000
8,8,8,8,224,56,128,128,3,3,19.425000
8,8,8,8,224,56,256,256,3,3,75.358000
8,8,8,8,224,28,64,64,3,3,2.735000
8,8,8,8,224,28,128,128,3,3,10.323000
8,8,8,8,224,28,256,256,3,3,37.895000
8,8,8,8,112,224,64,64,3,3,10.204000
8,8,8,8,112,224,128,128,3,3,37.091000
8,8,8,8,112,224,256,256,3,3,150.226000
8,8,8,8,112,112,64,64,3,3,5.195000
8,8,8,8,112,112,128,128,3,3,19.442000
8,8,8,8,112,112,256,256,3,3,75.091000
8,8,8,8,112,56,64,64,3,3,2.611000
8,8,8,8,112,56,128,128,3,3,10.310000
8,8,8,8,112,56,256,256,3,3,39.816000
8,8,8,8,112,28,64,64,3,3,1.445000
8,8,8,8,112,28,128,128,3,3,5.538000
8,8,8,8,112,28,256,256,3,3,21.230000
8,8,8,8,56,224,64,64,3,3,5.311000
8,8,8,8,56,224,128,128,3,3,19.432000
8,8,8,8,56,224,256,256,3,3,75.024000
8,8,8,8,56,112,64,64,3,3,2.760000
8,8,8,8,56,112,128,128,3,3,10.366000
8,8,8,8,56,112,256,256,3,3,38.280000
8,8,8,8,56,56,64,64,3,3,1.458000
8,8,8,8,56,56,128,128,3,3,5.557000
8,8,8,8,56,56,256,256,3,3,19.958000
8,8,8,8,56,28,64,64,3,3,0.836000
8,8,8,8,56,28,128,128,3,3,3.106000
8,8,8,8,56,28,256,256,3,3,11.153000
8,8,8,8,28,224,64,64,3,3,2.776000
8,8,8,8,28,224,128,128,3,3,10.415000
8,8,8,8,28,224,256,256,3,3,37.931000
8,8,8,8,28,112,64,64,3,3,1.454000
8,8,8,8,28,112,128,128,3,3,5.567000
8,8,8,8,28,112,256,256,3,3,19.897000
8,8,8,8,28,56,64,64,3,3,0.936000
8,8,8,8,28,56,128,128,3,3,2.886000
8,8,8,8,28,56,256,256,3,3,11.031000
8,8,8,8,28,28,64,64,3,3,0.555000
8,8,8,8,28,28,128,128,3,3,1.839000
8,8,8,8,28,28,256,256,3,3,6.110000
8,8,8,16,224,224,64,64,3,3,18.988000
8,8,8,16,224,224,128,128,3,3,72.614000
8,8,8,16,224,224,256,256,3,3,293.690000
8,8,8,16,224,112,64,64,3,3,10.064000
8,8,8,16,224,112,128,128,3,3,37.068000
8,8,8,16,224,112,256,256,3,3,149.456000
8,8,8,16,224,56,64,64,3,3,5.171000
8,8,8,16,224,56,128,128,3,3,19.239000
8,8,8,16,224,56,256,256,3,3,76.524000
8,8,8,16,224,28,64,64,3,3,2.733000
8,8,8,16,224,28,128,128,3,3,10.464000
8,8,8,16,224,28,256,256,3,3,37.820000
8,8,8,16,112,224,64,64,3,3,10.180000
8,8,8,16,112,224,128,128,3,3,38.306000
8,8,8,16,112,224,256,256,3,3,148.992000
8,8,8,16,112,112,64,64,3,3,5.180000
8,8,8,16,112,112,128,128,3,3,19.387000
8,8,8,16,112,112,256,256,3,3,76.434000
8,8,8,16,112,56,64,64,3,3,2.611000
8,8,8,16,112,56,128,128,3,3,10.097000
8,8,8,16,112,56,256,256,3,3,37.954000
8,8,8,16,112,28,64,64,3,3,1.444000
8,8,8,16,112,28,128,128,3,3,5.493000
8,8,8,16,112,28,256,256,3,3,19.858000
8,8,8,16,56,224,64,64,3,3,5.322000
8,8,8,16,56,224,128,128,3,3,19.392000
8,8,8,16,56,224,256,256,3,3,74.912000
8,8,8,16,56,112,64,64,3,3,2.748000
8,8,8,16,56,112,128,128,3,3,10.381000
8,8,8,16,56,112,256,256,3,3,39.846000
8,8,8,16,56,56,64,64,3,3,1.465000
8,8,8,16,56,56,128,128,3,3,5.485000
8,8,8,16,56,56,256,256,3,3,21.256000
8,8,8,16,56,28,64,64,3,3,0.856000
8,8,8,16,56,28,128,128,3,3,3.108000
8,8,8,16,56,28,256,256,3,3,10.977000
8,8,8,16,28,224,64,64,3,3,2.762000
8,8,8,16,28,224,128,128,3,3,10.314000
8,8,8,16,28,224,256,256,3,3,38.143000
8,8,8,16,28,112,64,64,3,3,1.459000
8,8,8,16,28,112,128,128,3,3,5.519000
8,8,8,16,28,112,256,256,3,3,21.066000
8,8,8,16,28,56,64,64,3,3,0.934000
8,8,8,16,28,56,128,128,3,3,2.878000
8,8,8,16,28,56,256,256,3,3,10.791000
8,8,8,16,28,28,64,64,3,3,0.550000
8,8,8,16,28,28,128,128,3,3,1.834000
8,8,8,16,28,28,256,256,3,3,6.053000
8,8,16,8,224,224,64,64,3,3,19.197000
8,8,16,8,224,224,128,128,3,3,74.859000
8,8,16,8,224,224,256,256,3,3,296.425000
8,8,16,8,224,112,64,64,3,3,10.058000
8,8,16,8,224,112,128,128,3,3,37.097000
8,8,16,8,224,112,256,256,3,3,150.446000
8,8,16,8,224,56,64,64,3,3,5.182000
8,8,16,8,224,56,128,128,3,3,20.125000
8,8,16,8,224,56,256,256,3,3,75.051000
8,8,16,8,224,28,64,64,3,3,2.732000
8,8,16,8,224,28,128,128,3,3,10.459000
8,8,16,8,224,28,256,256,3,3,37.898000
8,8,16,8,112,224,64,64,3,3,10.146000
8,8,16,8,112,224,128,128,3,3,38.976000
8,8,16,8,112,224,256,256,3,3,149.251000
8,8,16,8,112,112,64,64,3,3,5.185000
8,8,16,8,112,112,128,128,3,3,20.379000
8,8,16,8,112,112,256,256,3,3,75.121000
8,8,16,8,112,56,64,64,3,3,2.611000
8,8,16,8,112,56,128,128,3,3,10.197000
8,8,16,8,112,56,256,256,3,3,38.015000
8,8,16,8,112,28,64,64,3,3,1.443000
8,8,16,8,112,28,128,128,3,3,5.506000
8,8,16,8,112,28,256,256,3,3,19.952000
8,8,16,8,56,224,64,64,3,3,5.319000
8,8,16,8,56,224,128,128,3,3,20.647000
8,8,16,8,56,224,256,256,3,3,74.217000
8,8,16,8,56,112,64,64,3,3,2.756000
8,8,16,8,56,112,128,128,3,3,10.640000
8,8,16,8,56,112,256,256,3,3,38.024000
8,8,16,8,56,56,64,64,3,3,1.463000
8,8,16,8,56,56,128,128,3,3,5.487000
8,8,16,8,56,56,256,256,3,3,21.285000
8,8,16,8,56,28,64,64,3,3,0.875000
8,8,16,8,56,28,128,128,3,3,3.119000
8,8,16,8,56,28,256,256,3,3,11.055000
8,8,16,8,28,224,64,64,3,3,2.794000
8,8,16,8,28,224,128,128,3,3,10.358000
8,8,16,8,28,224,256,256,3,3,37.838000
8,8,16,8,28,112,64,64,3,3,1.458000
8,8,16,8,28,112,128,128,3,3,5.549000
8,8,16,8,28,112,256,256,3,3,19.865000
8,8,16,8,28,56,64,64,3,3,0.928000
8,8,16,8,28,56,128,128,3,3,2.933000
8,8,16,8,28,56,256,256,3,3,11.157000
8,8,16,8,28,28,64,64,3,3,0.553000
8,8,16,8,28,28,128,128,3,3,1.823000
8,8,16,8,28,28,256,256,3,3,6.021000
8,8,16,16,224,224,64,64,3,3,20.180000
8,8,16,16,224,224,128,128,3,3,73.845000
8,8,16,16,224,224,256,256,3,3,293.907000
8,8,16,16,224,112,64,64,3,3,10.201000
8,8,16,16,224,112,128,128,3,3,38.864000
8,8,16,16,224,112,256,256,3,3,149.505000
8,8,16,16,224,56,64,64,3,3,5.167000
8,8,16,16,224,56,128,128,3,3,20.397000
8,8,16,16,224,56,256,256,3,3,74.925000
8,8,16,16,224,28,64,64,3,3,2.729000
8,8,16,16,224,28,128,128,3,3,10.532000
8,8,16,16,224,28,256,256,3,3,37.803000
8,8,16,16,112,224,64,64,3,3,10.249000
8,8,16,16,112,224,128,128,3,3,37.243000
8,8,16,16,112,224,256,256,3,3,147.401000
8,8,16,16,112,112,64,64,3,3,5.165000
8,8,16,16,112,112,128,128,3,3,20.409000
8,8,16,16,112,112,256,256,3,3,76.439000
8,8,16,16,112,56,64,64,3,3,2.607000
8,8,16,16,112,56,128,128,3,3,10.276000
8,8,16,16,112,56,256,256,3,3,39.773000
8,8,16,16,112,28,64,64,3,3,1.443000
8,8,16,16,112,28,128,128,3,3,5.477000
8,8,16,16,112,28,256,256,3,3,21.158000
8,8,16,16,56,224,64,64,3,3,5.323000
8,8,16,16,56,224,128,128,3,3,19.694000
8,8,16,16,56,224,256,256,3,3,74.523000
8,8,16,16,56,112,64,64,3,3,2.753000
8,8,16,16,56,112,128,128,3,3,10.474000
8,8,16,16,56,112,256,256,3,3,38.028000
8,8,16,16,56,56,64,64,3,3,1.465000
8,8,16,16,56,56,128,128,3,3,5.511000
8,8,16,16,56,56,256,256,3,3,21.194000
8,8,16,16,56,28,64,64,3,3,0.825000
8,8,16,16,56,28,128,128,3,3,3.090000
8,8,16,16,56,28,256,256,3,3,10.919000
8,8,16,16,28,224,64,64,3,3,2.764000
8,8,16,16,28,224,128,128,3,3,10.384000
8,8,16,16,28,224,256,256,3,3,38.084000
8,8,16,16,28,112,64,64,3,3,1.456000
8,8,16,16,28,112,128,128,3,3,5.524000
8,8,16,16,28,112,256,256,3,3,21.041000
8,8,16,16,28,56,64,64,3,3,0.934000
8,8,16,16,28,56,128,128,3,3,2.907000
8,8,16,16,28,56,256,256,3,3,10.867000
8,8,16,16,28,28,64,64,3,3,0.549000
8,8,16,16,28,28,128,128,3,3,1.832000
8,8,16,16,28,28,256,256,3,3,6.149000
8,8,32,8,224,224,64,64,3,3,20.204000
8,8,32,8,224,224,128,128,3,3,73.682000
8,8,32,8,224,224,256,256,3,3,296.825000
8,8,32,8,224,112,64,64,3,3,10.056000
8,8,32,8,224,112,128,128,3,3,37.106000
8,8,32,8,224,112,256,256,3,3,151.300000
8,8,32,8,224,56,64,64,3,3,5.169000
8,8,32,8,224,56,128,128,3,3,20.372000
8,8,32,8,224,56,256,256,3,3,75.080000
8,8,32,8,224,28,64,64,3,3,2.735000
8,8,32,8,224,28,128,128,3,3,10.397000
8,8,32,8,224,28,256,256,3,3,37.877000
8,8,32,8,112,224,64,64,3,3,10.132000
8,8,32,8,112,224,128,128,3,3,37.157000
8,8,32,8,112,224,256,256,3,3,150.454000
8,8,32,8,112,112,64,64,3,3,5.172000
8,8,32,8,112,112,128,128,3,3,19.164000
8,8,32,8,112,112,256,256,3,3,76.739000
8,8,32,8,112,56,64,64,3,3,2.614000
8,8,32,8,112,56,128,128,3,3,10.255000
8,8,32,8,112,56,256,256,3,3,37.976000
8,8,32,8,112,28,64,64,3,3,1.446000
8,8,32,8,112,28,128,128,3,3,5.519000
8,8,32,8,112,28,256,256,3,3,21.247000
8,8,32,8,56,224,64,64,3,3,5.326000
8,8,32,8,56,224,128,128,3,3,19.439000
8,8,32,8,56,224,256,256,3,3,76.230000
8,8,32,8,56,112,64,64,3,3,2.758000
8,8,32,8,56,112,128,128,3,3,10.385000
8,8,32,8,56,112,256,256,3,3,38.087000
8,8,32,8,56,56,64,64,3,3,1.482000
8,8,32,8,56,56,128,128,3,3,5.514000
8,8,32,8,56,56,256,256,3,3,19.949000
8,8,32,8,56,28,64,64,3,3,0.873000
8,8,32,8,56,28,128,128,3,3,3.107000
8,8,32,8,56,28,256,256,3,3,10.923000
8,8,32,8,28,224,64,64,3,3,2.767000
8,8,32,8,28,224,128,128,3,3,10.353000
8,8,32,8,28,224,256,256,3,3,38.093000
8,8,32,8,28,112,64,64,3,3,1.479000
8,8,32,8,28,112,128,128,3,3,5.526000
8,8,32,8,28,112,256,256,3,3,19.788000
8,8,32,8,28,56,64,64,3,3,0.939000
8,8,32,8,28,56,128,128,3,3,2.915000
8,8,32,8,28,56,256,256,3,3,11.109000
8,8,32,8,28,28,64,64,3,3,0.555000
8,8,32,8,28,28,128,128,3,3,1.835000
8,8,32,8,28,28,256,256,3,3,6.089000
8,8,32,16,224,224,64,64,3,3,19.875000
8,8,32,16,224,224,128,128,3,3,72.582000
8,8,32,16,224,224,256,256,3,3,293.817000
8,8,32,16,224,112,64,64,3,3,10.152000
8,8,32,16,224,112,128,128,3,3,37.046000
8,8,32,16,224,112,256,256,3,3,148.050000
8,8,32,16,224,56,64,64,3,3,5.166000
8,8,32,16,224,56,128,128,3,3,20.335000
8,8,32,16,224,56,256,256,3,3,74.727000
8,8,32,16,224,28,64,64,3,3,2.743000
8,8,32,16,224,28,128,128,3,3,10.301000
8,8,32,16,224,28,256,256,3,3,39.601000
8,8,32,16,112,224,64,64,3,3,10.251000
8,8,32,16,112,224,128,128,3,3,38.837000
8,8,32,16,112,224,256,256,3,3,149.057000
8,8,32,16,112,112,64,64,3,3,5.141000
8,8,32,16,112,112,128,128,3,3,20.345000
8,8,32,16,112,112,256,256,3,3,76.490000
8,8,32,16,112,56,64,64,3,3,2.607000
8,8,32,16,112,56,128,128,3,3,10.064000
8,8,32,16,112,56,256,256,3,3,37.939000
8,8,32,16,112,28,64,64,3,3,1.440000
8,8,32,16,112,28,128,128,3,3,5.517000
8,8,32,16,112,28,256,256,3,3,19.904000
8,8,32,16,56,224,64,64,3,3,5.315000
8,8,32,16,56,224,128,128,3,3,19.399000
8,8,32,16,56,224,256,256,3,3,76.147000
8,8,32,16,56,112,64,64,3,3,2.749000
8,8,32,16,56,112,128,128,3,3,10.415000
8,8,32,16,56,112,256,256,3,3,37.956000
8,8,32,16,56,56,64,64,3,3,1.462000
8,8,32,16,56,56,128,128,3,3,5.572000
8,8,32,16,56,56,256,256,3,3,19.902000
8,8,32,16,56,28,64,64,3,3,0.824000
8,8,32,16,56,28,128,128,3,3,3.092000
8,8,32,16,56,28,256,256,3,3,10.991000
8,8,32,16,28,224,64,64,3,3,2.767000
8,8,32,16,28,224,128,128,3,3,10.362000
8,8,32,16,28,224,256,256,3,3,38.063000
8,8,32,16,28,112,64,64,3,3,1.458000
8,8,32,16,28,112,128,128,3,3,5.509000
